station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40800,Sedgwick,1/1/2020,3555.4,1646.5,1288.8,91249
40710,Chicago/Franklin,1/1/2020,6708.6,2214,1459,163741
40460,Merchandise Mart,1/1/2020,8187.6,1409.8,940.2,190468
40930,Midway Airport,1/1/2020,7104,2728.5,2311.6,178760
40960,Pulaski-Orange,1/1/2020,4775.5,1554.3,1123.2,116895
41150,Kedzie-Midway,1/1/2020,3138.7,1259,906.6,78621
40310,Western-Orange,1/1/2020,3417.2,1404.5,1049.2,86043
40120,35th/Archer,1/1/2020,2741,1057,760.2,68331
41060,Ashland-Orange,1/1/2020,1474,671.8,492.6,37579
41130,Halsted-Orange,1/1/2020,2470.7,847.3,617.8,60833
40730,Washington/Wells,1/1/2020,8425.1,971.5,648.8,192483
40040,Quincy/Wells,1/1/2020,8146.7,1097.8,911.4,188175
40160,LaSalle/Van Buren,1/1/2020,3157.2,435,305.2,72725
40850,Library,1/1/2020,3437.8,1205.8,834.8,84628
40680,Adams/Wabash,1/1/2020,6627.6,2201,1452.2,161872
41700,Washington/Wabash,1/1/2020,9546.4,3708.3,2724.6,238477
40260,State/Lake,1/1/2020,11425.9,4780.3,3507.8,288030
40380,Clark/Lake,1/1/2020,19652.3,4097.3,3257.6,465028
40900,Howard,2/1/2020,4883.6,3056,2408.3,122584
41190,Jarvis,2/1/2020,1387.2,1065.2,840.3,36430
40100,Morse,2/1/2020,4162.7,2638.2,2142,105012
41300,Loyola,2/1/2020,5355.7,4689.4,3600.3,144961
40760,Granville,2/1/2020,3601.7,424.4,14.8,74215
40880,Thorndale,2/1/2020,2761.5,290,13.8,56735
41380,Bryn Mawr,2/1/2020,4174.4,442,20,85777
40340,Berwyn,2/1/2020,2993.1,3473,2924.8,88926
41200,Argyle,2/1/2020,2820.2,2205,1609.5,73866
40770,Lawrence,2/1/2020,2722.2,1913.2,1406.8,69636
40540,Wilson,2/1/2020,6501.6,3913.6,2831,160924
40080,Sheridan,2/1/2020,4639,2614.8,1983.5,113788
41420,Addison-North Main,2/1/2020,6090.9,3833.4,3050.3,153185
41320,Belmont-North Main,2/1/2020,10902.8,7815.4,5829,280448
41220,Fullerton,2/1/2020,13282.5,7174.6,5555,323742
40650,North/Clybourn,2/1/2020,5105.9,3983.4,3020.5,134117
40630,Clark/Division,2/1/2020,7112.9,4856.8,3862.5,181991
41450,Chicago/State,2/1/2020,12681.6,8992.6,6639.8,325154
40330,Grand/State,2/1/2020,9310.7,7824.2,5791.5,248500
41660,Lake/State,2/1/2020,19914.1,9709.6,6714.8,473688
41090,Monroe/State,2/1/2020,9332.7,3359.6,2199,212247
40560,Jackson/State,2/1/2020,9535.8,3265.4,1999.3,215040
